timestamp,src_ip,dst_ip,protocol,length
2025-07-11 13:47:23.394388,64.233.170.108,192.168.1.101,TCP,54
2025-07-11 13:47:23.434687,192.168.1.101,142.251.10.188,TCP,55
2025-07-11 13:47:23.434687,192.168.1.101,142.251.10.188,TCP,55
2025-07-11 13:47:23.435688,192.168.1.101,142.250.70.42,UDP,71
2025-07-11 13:47:23.455741,142.250.70.42,192.168.1.101,UDP,71
2025-07-11 13:47:23.508827,142.251.10.188,192.168.1.101,TCP,66
2025-07-11 13:47:23.509822,142.251.10.188,192.168.1.101,TCP,66
2025-07-11 13:47:23.672093,192.168.1.101,142.250.70.42,UDP,71
2025-07-11 13:47:23.691881,142.250.70.42,192.168.1.101,UDP,71
2025-07-11 13:47:23.893882,192.168.1.101,142.250.70.42,UDP,71
2025-07-11 13:47:23.913883,142.250.70.42,192.168.1.101,UDP,71
2025-07-11 13:47:24.116115,192.168.1.101,142.250.70.42,UDP,71
2025-07-11 13:47:24.136110,142.250.70.42,192.168.1.101,UDP,71
2025-07-11 13:47:24.337962,192.168.1.101,142.250.70.42,UDP,71
2025-07-11 13:47:24.358690,142.250.70.42,192.168.1.101,UDP,71
2025-07-11 13:47:24.761951,192.168.1.101,142.250.70.42,UDP,71
2025-07-11 13:47:24.784951,142.250.70.42,192.168.1.101,UDP,71
2025-07-11 13:47:24.954813,192.168.1.101,172.64.155.209,TCP,66
2025-07-11 13:47:24.959466,172.64.155.209,192.168.1.101,TCP,66
2025-07-11 13:47:24.959466,192.168.1.101,172.64.155.209,TCP,54
2025-07-11 13:47:24.960438,192.168.1.101,172.64.155.209,TCP,2046
2025-07-11 13:47:24.967447,172.64.155.209,192.168.1.101,TCP,54
2025-07-11 13:47:24.967447,172.64.155.209,192.168.1.101,TCP,54
2025-07-11 13:47:24.968443,172.64.155.209,192.168.1.101,TCP,1429
2025-07-11 13:47:24.970458,192.168.1.101,172.64.155.209,TCP,118
2025-07-11 13:47:24.971450,192.168.1.101,172.64.155.209,TCP,146
2025-07-11 13:47:24.972438,192.168.1.101,172.64.155.209,TCP,5556
2025-07-11 13:47:24.973466,192.168.1.101,172.64.155.209,TCP,471
2025-07-11 13:47:24.974441,172.64.155.209,192.168.1.101,TCP,582
2025-07-11 13:47:24.975444,192.168.1.101,172.64.155.209,TCP,54
2025-07-11 13:47:24.975444,192.168.1.101,172.64.155.209,TCP,85
2025-07-11 13:47:24.976442,172.64.155.209,192.168.1.101,TCP,54
2025-07-11 13:47:24.977442,172.64.155.209,192.168.1.101,TCP,85
2025-07-11 13:47:24.977442,172.64.155.209,192.168.1.101,TCP,54
2025-07-11 13:47:24.978443,172.64.155.209,192.168.1.101,TCP,54
2025-07-11 13:47:25.017954,172.64.155.209,192.168.1.101,TCP,54
2025-07-11 13:47:25.030998,192.168.1.101,172.64.155.209,TCP,54
2025-07-11 13:47:25.207988,172.64.155.209,192.168.1.101,TCP,652
2025-07-11 13:47:25.209954,172.64.155.209,192.168.1.101,TCP,101
2025-07-11 13:47:25.209954,172.64.155.209,192.168.1.101,TCP,85
2025-07-11 13:47:25.210955,192.168.1.101,172.64.155.209,TCP,54
2025-07-11 13:47:25.288941,192.168.1.101,64.233.170.108,TCP,66
2025-07-11 13:47:25.367254,64.233.170.108,192.168.1.101,TCP,66
2025-07-11 13:47:25.368256,192.168.1.101,64.233.170.108,TCP,54
2025-07-11 13:47:25.596626,192.168.1.101,142.250.70.42,UDP,71
2025-07-11 13:47:25.604627,64.233.170.108,192.168.1.101,TCP,129
2025-07-11 13:47:25.607627,192.168.1.101,64.233.170.108,TCP,76
2025-07-11 13:47:25.616629,142.250.70.42,192.168.1.101,UDP,71
2025-07-11 13:47:25.682426,64.233.170.108,192.168.1.101,TCP,54
2025-07-11 13:47:25.848909,64.233.170.108,192.168.1.101,TCP,224
2025-07-11 13:47:25.850908,192.168.1.101,64.233.170.108,TCP,64
2025-07-11 13:47:25.914908,192.168.1.101,192.168.1.1,UDP,94
2025-07-11 13:47:25.916920,192.168.1.101,192.168.1.1,UDP,94
2025-07-11 13:47:25.921914,192.168.1.1,192.168.1.101,UDP,177
2025-07-11 13:47:25.928914,192.168.1.1,192.168.1.101,UDP,234
2025-07-11 13:47:25.930911,192.168.1.101,20.255.46.225,TCP,66
2025-07-11 13:47:25.932923,64.233.170.108,192.168.1.101,TCP,54
2025-07-11 13:47:25.999809,192.168.1.101,192.168.1.1,UDP,74
2025-07-11 13:47:26.010827,192.168.1.1,192.168.1.101,UDP,344
2025-07-11 13:47:26.012812,192.168.1.101,40.126.18.32,TCP,66
2025-07-11 13:47:26.014807,192.168.1.101,192.168.1.1,UDP,75
2025-07-11 13:47:26.016809,192.168.1.101,192.168.1.1,UDP,75
2025-07-11 13:47:26.019825,192.168.1.1,192.168.1.101,UDP,91
2025-07-11 13:47:26.024814,192.168.1.1,192.168.1.101,UDP,125
2025-07-11 13:47:26.027809,192.168.1.101,142.251.221.229,TCP,66
2025-07-11 13:47:26.029808,20.255.46.225,192.168.1.101,TCP,66
2025-07-11 13:47:26.030810,192.168.1.101,20.255.46.225,TCP,54
2025-07-11 13:47:26.033813,192.168.1.101,20.255.46.225,TCP,1894
2025-07-11 13:47:26.034812,192.168.1.101,192.168.1.1,UDP,75
2025-07-11 13:47:26.038809,192.168.1.1,192.168.1.101,UDP,91
2025-07-11 13:47:26.044810,192.168.1.101,192.168.1.1,UDP,73
2025-07-11 13:47:26.046810,192.168.1.101,192.168.1.1,UDP,73
2025-07-11 13:47:26.050812,192.168.1.1,192.168.1.101,UDP,105
2025-07-11 13:47:26.053813,142.251.221.229,192.168.1.101,TCP,70
2025-07-11 13:47:26.056830,192.168.1.101,142.251.221.229,TCP,54
2025-07-11 13:47:26.060817,40.126.18.32,192.168.1.101,TCP,66
2025-07-11 13:47:26.061813,192.168.1.101,40.126.18.32,TCP,54
2025-07-11 13:47:26.063810,192.168.1.101,142.251.221.229,TCP,1811
2025-07-11 13:47:26.065810,192.168.1.1,192.168.1.101,UDP,143
2025-07-11 13:47:26.067809,192.168.1.101,104.18.27.48,TCP,66
2025-07-11 13:47:26.068811,192.168.1.101,40.126.18.32,TCP,518
2025-07-11 13:47:26.070812,192.168.1.101,192.168.1.1,UDP,73
2025-07-11 13:47:26.073825,192.168.1.1,192.168.1.101,UDP,105
2025-07-11 13:47:26.076812,192.168.1.101,192.168.1.1,UDP,75
2025-07-11 13:47:26.078811,192.168.1.101,192.168.1.1,UDP,75
2025-07-11 13:47:26.079810,142.251.221.229,192.168.1.101,TCP,58
2025-07-11 13:47:26.080812,142.251.221.229,192.168.1.101,TCP,58
2025-07-11 13:47:26.082811,142.251.221.229,192.168.1.101,TCP,1470
2025-07-11 13:47:26.083811,142.251.221.229,192.168.1.101,TCP,1470
2025-07-11 13:47:26.088812,192.168.1.101,142.251.221.229,TCP,54
2025-07-11 13:47:26.091812,192.168.1.101,192.168.1.1,UDP,75
2025-07-11 13:47:26.093810,142.251.221.229,192.168.1.101,TCP,1470
2025-07-11 13:47:26.095811,142.251.221.229,192.168.1.101,TCP,1192
2025-07-11 13:47:26.098811,192.168.1.101,142.251.221.229,TCP,54
2025-07-11 13:47:26.099812,104.18.27.48,192.168.1.101,TCP,66
2025-07-11 13:47:26.101811,192.168.1.101,104.18.27.48,TCP,54
2025-07-11 13:47:26.103813,192.168.1.101,104.18.27.48,TCP,1873
2025-07-11 13:47:26.105825,40.126.18.32,192.168.1.101,TCP,1494
2025-07-11 13:47:26.106808,40.126.18.32,192.168.1.101,TCP,1494
2025-07-11 13:47:26.107809,40.126.18.32,192.168.1.101,TCP,1131
2025-07-11 13:47:26.108809,192.168.1.101,40.126.18.32,TCP,54
2025-07-11 13:47:26.110812,192.168.1.101,192.168.1.1,UDP,79
2025-07-11 13:47:26.112812,192.168.1.101,192.168.1.1,UDP,79
2025-07-11 13:47:26.113812,192.168.1.101,104.18.27.48,TCP,66
2025-07-11 13:47:26.115813,104.18.27.48,192.168.1.101,TCP,54
2025-07-11 13:47:26.118816,104.18.27.48,192.168.1.101,TCP,1494
2025-07-11 13:47:26.120832,104.18.27.48,192.168.1.101,TCP,1494
2025-07-11 13:47:26.122816,104.18.27.48,192.168.1.101,TCP,382
2025-07-11 13:47:26.124814,104.18.27.48,192.168.1.101,TCP,66
2025-07-11 13:47:26.125807,192.168.1.101,104.18.27.48,TCP,54
2025-07-11 13:47:26.127810,192.168.1.101,104.18.27.48,TCP,54
2025-07-11 13:47:26.129810,192.168.1.101,104.18.27.48,TCP,1777
2025-07-11 13:47:26.130809,104.18.27.48,192.168.1.101,TCP,54
2025-07-11 13:47:26.132810,104.18.27.48,192.168.1.101,TCP,1494
2025-07-11 13:47:26.133809,104.18.27.48,192.168.1.101,TCP,1494
2025-07-11 13:47:26.134808,104.18.27.48,192.168.1.101,TCP,381
2025-07-11 13:47:26.135809,192.168.1.101,104.18.27.48,TCP,54
2025-07-11 13:47:26.137810,192.168.1.101,40.126.18.32,TCP,212
2025-07-11 13:47:26.138810,64.233.170.108,192.168.1.101,TCP,84
2025-07-11 13:47:26.139810,192.168.1.101,64.233.170.108,TCP,571
2025-07-11 13:47:26.140808,192.168.1.101,142.251.221.229,TCP,128
2025-07-11 13:47:26.142809,192.168.1.101,142.251.221.229,TCP,146
2025-07-11 13:47:26.143810,192.168.1.101,142.251.221.229,TCP,3072
2025-07-11 13:47:26.145810,192.168.1.101,104.18.27.48,TCP,118
2025-07-11 13:47:26.146811,192.168.1.101,104.18.27.48,TCP,118
2025-07-11 13:47:26.147806,192.168.1.101,104.18.27.48,TCP,54
2025-07-11 13:47:26.148810,192.168.1.101,104.18.27.48,TCP,146
2025-07-11 13:47:26.150810,192.168.1.101,104.18.27.48,TCP,549
2025-07-11 13:47:26.151810,104.18.27.48,192.168.1.101,TCP,566
2025-07-11 13:47:26.154811,192.168.1.101,104.18.27.48,TCP,54
2025-07-11 13:47:26.155811,104.18.27.48,192.168.1.101,TCP,54
2025-07-11 13:47:26.156810,40.126.18.32,192.168.1.101,TCP,105
2025-07-11 13:47:26.157810,192.168.1.101,40.126.18.32,TCP,346
2025-07-11 13:47:26.159810,192.168.1.101,40.126.18.32,TCP,6956
2025-07-11 13:47:26.161811,142.251.221.229,192.168.1.101,TCP,1018
2025-07-11 13:47:26.162810,142.251.221.229,192.168.1.101,TCP,89
2025-07-11 13:47:26.164809,192.168.1.101,142.251.221.229,TCP,54
2025-07-11 13:47:26.165809,192.168.1.101,142.251.221.229,TCP,85
2025-07-11 13:47:26.166810,142.251.221.229,192.168.1.101,TCP,58
2025-07-11 13:47:26.168810,104.18.27.48,192.168.1.101,TCP,566
2025-07-11 13:47:26.169819,192.168.1.101,104.18.27.48,TCP,85
2025-07-11 13:47:26.170811,104.18.27.48,192.168.1.101,TCP,54
2025-07-11 13:47:26.172809,104.18.27.48,192.168.1.101,TCP,85
2025-07-11 13:47:26.173811,20.255.46.225,192.168.1.101,TCP,54
2025-07-11 13:47:26.174811,20.255.46.225,192.168.1.101,TCP,1494
2025-07-11 13:47:26.176810,20.255.46.225,192.168.1.101,TCP,1494
2025-07-11 13:47:26.177811,20.255.46.225,192.168.1.101,TCP,1270
2025-07-11 13:47:26.178812,20.255.46.225,192.168.1.101,TCP,170
2025-07-11 13:47:26.180810,104.18.27.48,192.168.1.101,TCP,266
